id,is_entire_condo,is_entire_rental_unit,is_entire_home,is_room_in_hotel,is_entire_serviced_apartment,is_entire_townhouse,room_type,accommodates,beds,bedrooms,bathrooms,host_years,host_is_superhost,host_listings_count,calculated_host_listings_count,calculated_host_listings_count_entire_homes,host_response_time,host_response_rate,host_acceptance_rate,host_has_profile_pic,neighbourhood_group,neighbourhood,latitude,longitude,availability_365,availability_30,minimum_nights,maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,reviews_per_month,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_communication,instant_bookable,price,has_license,has_air_conditioning,has_hot_water,has_kitchen,has_gym,has_wifi,has_hair_dryer,has_microwave,has_refrigerator,has_pool,has_washer,review_scores_rating_missing,review_scores_cleanliness_missing,review_scores_location_missing,review_scores_communication_missing,host_response_rate_missing,host_acceptance_rate_missing,reviews_per_month_missing,drive_dist_hnl_km,drive_time_hnl_min,drive_dist_wk_km,drive_time_wk_min
920497005624247051,False,False,True,False,False,False,Entire home/apt,10.0,7.0,3.0,2.0,2.521560574948665,False,1.0,1,1.0,within an hour,1.0,1.0,True,Honolulu,Koolauloa,21.62308,-157.91992,172,18.0,30,730.0,30.0,1125.0,67,27,0.0,2.51,4.76,4.85,4.85,4.76,False,455.0,True,True,True,True,False,True,True,True,True,False,True,0,0,0,0,0,0,0,61.9,65.8,53.6,64.9
920557349886544215,False,True,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,2.455852156057495,True,1.0,1,1.0,within a few hours,0.8,0.93,True,Honolulu,Primary Urban Center,21.31051991102899,-157.8617609928679,119,7.0,2,365.0,2.0,365.0,79,29,2.0,3.06,4.86,4.85,4.75,4.97,False,99.0,True,True,False,True,False,True,True,True,True,True,True,0,0,0,0,0,0,0,19.6,27.9,5.7,16.5
920732674474210697,False,True,False,False,False,False,Entire home/apt,4.0,3.0,1.0,1.0,4.202600958247776,False,138.0,131,131.0,missing,0.0,0.0,True,Honolulu,Primary Urban Center,21.2747247,-157.820931,259,6.0,1,16.0,1.1,16.0,80,41,1.0,3.43,4.94,4.89,4.89,4.96,False,200.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,1,1,0,26.7,35.6,3.0,9.8
920733190090290395,False,True,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,4.202600958247776,False,138.0,131,131.0,missing,0.0,0.0,True,Honolulu,Primary Urban Center,21.2790803,-157.8236089,260,2.0,1,16.0,1.0,16.0,75,34,1.0,2.95,4.87,4.95,4.84,4.97,False,89.0,True,True,True,True,False,True,True,True,True,True,True,0,0,0,0,1,1,0,26.0,33.8,2.3,8.0
920766870008450897,False,True,False,False,False,False,Entire home/apt,3.0,2.0,0.0,1.0,4.202600958247776,False,138.0,131,131.0,missing,0.0,0.0,True,Honolulu,Primary Urban Center,21.2809674,-157.8256348,294,2.0,1,16.0,1.1,16.0,69,33,1.0,2.87,4.86,4.91,4.93,4.97,False,160.0,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,1,1,0,25.7,32.8,2.0,7.0
924709583138674676,False,True,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,6.0013689253935665,False,28.0,25,25.0,within an hour,0.88,1.0,True,Honolulu,Primary Urban Center,21.2799328862216,-157.82917738929245,215,2.0,1,1125.0,1.0,1125.0,2,2,1.0,0.8,5.0,5.0,5.0,5.0,True,378.0,True,True,False,True,False,True,True,False,False,False,False,0,0,0,0,0,0,0,26.2,35.9,2.5,10.1
924709641650180342,False,True,False,False,False,False,Entire home/apt,4.0,2.0,2.0,2.0,6.0013689253935665,False,28.0,25,25.0,within an hour,0.88,1.0,True,Honolulu,Primary Urban Center,21.28811,-157.83734,28,0.0,1,1125.0,1.0,1125.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,True,368.0,True,True,False,True,False,True,False,True,False,True,True,1,1,1,1,0,0,1,23.7,35.6,1.3,5.4
924347550088706488,False,True,False,False,False,False,Entire home/apt,3.0,2.0,0.0,1.0,4.539356605065024,True,162.0,150,150.0,within an hour,1.0,1.0,True,Honolulu,Primary Urban Center,21.28176762629872,-157.82615351171077,49,4.0,1,365.0,1.0,365.0,75,40,4.0,2.81,4.93,4.86,4.91,4.92,True,146.0,True,True,True,True,True,True,True,True,True,True,False,0,0,0,0,0,0,0,25.5,32.6,1.9,6.8
924700099987338104,True,False,False,False,False,False,Entire home/apt,2.0,1.0,0.0,1.0,9.604380561259411,True,206.0,204,204.0,within an hour,0.99,1.0,True,Honolulu,Primary Urban Center,21.2788798,-157.8326217,282,11.0,1,1125.0,2.3,427.8,5,4,0.0,0.22,5.0,5.0,5.0,5.0,True,110.0,True,True,True,True,False,True,True,True,True,False,True,0,0,0,0,0,0,0,24.6,39.5,0.8,3.3
924706526895372165,True,False,False,False,False,False,Entire home/apt,4.0,2.0,1.0,1.0,9.604380561259411,True,206.0,204,204.0,within an hour,0.99,1.0,True,Honolulu,Primary Urban Center,21.2743201,-157.8202324,167,6.0,1,1125.0,1.9,667.1,11,11,1.0,1.21,4.73,4.82,5.0,4.73,True,112.0,True,True,True,True,True,True,True,True,True,True,True,0,0,0,0,0,0,0,26.7,35.9,3.1,10.0
